key,number,name,customer-type,coverage,badge-label,variants,badge-style.class-names.class-name,badge-style.background-color,badge-style.border-color,badge-style.color
23,23,Route 23 Broadway - William,regular,regular,23,"[{'key': '23-1-C'}, {'key': '23-0-A'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
28,28,Route 28 Brookside Express,regular,express,28,"[{'key': '28-1-D'}, {'key': '28-0-I'}, {'key': '28-0-O'}]","['badge-label', 'express']",#eed700,#cab700,#000000
25,25,Route 25 Ness Super Express,regular,super express,25,"[{'key': '25-0-U'}, {'key': '25-1-D'}]","['badge-label', 'express']",#eed700,#cab700,#000000
38,38,Route 38 Salter,regular,regular,38,"[{'key': '38-0-T'}, {'key': '38-1-F'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
31,31,Route 31 Keewatin Express,regular,express,31,"[{'key': '31-0-M'}, {'key': '31-0-O'}, {'key': '31-1-D'}]","['badge-label', 'express']",#eed700,#cab700,#000000
33,33,Route 33 Maples,regular,regular,33,"[{'key': '33-0-M'}, {'key': '33-0-J'}, {'key': '33-1-D'}, {'key': '33-1-Mc'}, {'key': '33-1-D2'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
30,30,Route 30 Inkster Park Express,regular,express,30,"[{'key': '30-0-I'}, {'key': '30-1-D'}]","['badge-label', 'express']",#eed700,#cab700,#000000
32,32,Route 32 North Main Express,regular,express,32,"[{'key': '32-1-D'}, {'key': '32-0-L'}, {'key': '32-0-R'}]","['badge-label', 'express']",#eed700,#cab700,#000000
34,34,Route 34 McPhillips Super Express,regular,super express,34,"[{'key': '34-0-M'}, {'key': '34-1-D'}]","['badge-label', 'express']",#eed700,#cab700,#000000
35,35,Route 35 Maples Super Express,regular,super express,35,"[{'key': '35-0-A'}, {'key': '35-1-C'}]","['badge-label', 'express']",#eed700,#cab700,#000000
36,36,Route 36 Northwest Super Express,regular,super express,36,"[{'key': '36-1-C'}, {'key': '36-0-U'}, {'key': '36-1-M'}]","['badge-label', 'express']",#eed700,#cab700,#000000
