name,count,Stop_Number
Unheated Shelter,1,10228
Bench,1,10229
,,10230
,,10231
Bench,1,10232
Heated Shelter,1,10232
,,10233
,,10234
,,10235
,,10236
,,10237
,,10238
,,10239
,,10240
,,10241
,,10242
,,10243
,,10244
,,10245
,,10246
,,10247
,,10248
,,10249
,,10250
,,10251
,,10252
,,10253
,,10254
,,10255
,,10256
,,10257
,,10258
,,10259
,,10260
,,10261
,,10262
,,10263
,,10264
,,10265
,,10266
,,10267
,,10268
,,10269
,,10270
,,10271
,,10274
Unheated Shelter,1,10276
Unheated Shelter,1,10279
Unheated Shelter,1,10281
,,10282
,,10283
Bench,1,10284
Unheated Shelter,1,10284
,,10285
,,10286
,,10287
,,10288
,,10289
,,10290
Bench,1,10291
,,10292
,,10293
,,10294
Bench,1,10295
Bench,1,10296
,,10297
,,10298
Bench,2,10299
,,10300
Bench,1,10301
BUSwatch Electronic Sign,1,10302
Bench,2,10302
Unheated Shelter,1,10302
Unheated Shelter,1,10303
Bench,1,10304
Unheated Shelter,1,10305
,,10306
,,10307
,,10309
Unheated Shelter,1,10310
,,10311
,,10312
,,10313
,,10314
,,10315
,,10316
Bench,2,10317
Unheated Shelter,1,10317
,,10318
,,10319
,,10320
,,10321
,,10322
BUSwatch Electronic Sign,1,10323
,,10324
,,10325
,,10326
,,10327
,,10328
Bench,1,10329
,,10330
,,10331
,,10332
,,10333
,,10334
,,10335
,,10336
,,10337
,,10338
,,10339
,,10340
Bench,1,10341
Unheated Shelter,1,10342
,,10343
,,10344
,,10345
,,10346
Bench,2,10347
,,10348
,,10349
,,10351
,,10352
,,10353
,,10354
,,10355
,,10356
,,10357
,,10358
,,10359
,,10360
Bench,1,10363
Bench,1,10365
Bench,1,10366
Bench,1,10367
,,10368
Bench,1,10369
Bench,1,10370
,,10371
Bench,1,10372
,,10373
Bench,1,10374
Bench,1,10375
Bench,1,10376
Bench,1,10377
Bench,1,10378
,,10379
,,10380
,,10381
,,10383
Bench,1,10384
,,10385
Bench,1,10386
,,10387
,,10388
,,10389
Bench,1,10390
Unheated Shelter,1,10390
,,10391
Bench,1,10392
,,10393
,,10394
,,10395
,,10396
,,10397
,,10398
,,10399
Bench,1,10400
Unheated Shelter,1,10400
,,10401
,,10402
,,10403
Unheated Shelter,1,10404
,,10405
Unheated Shelter,1,10406
Heated Shelter,1,10407
Unheated Shelter,1,10408
,,10409
,,10410
,,10411
,,10412
Bench,1,10413
Bench,1,10414
Unheated Shelter,1,10414
,,10415
BUSwatch Electronic Sign,1,10417
Bench,1,10417
Unheated Shelter,1,10417
,,10418
,,10419
Unheated Shelter,1,10420
,,10421
BUSwatch Electronic Sign,1,10422
Bench,1,10422
Unheated Shelter,1,10422
BUSwatch Electronic Sign,1,10423
Bench,1,10423
Unheated Shelter,1,10423
Bench,1,10424
Unheated Shelter,1,10424
,,10425
Heated Shelter,1,10426
,,10427
Bench,1,10428
Unheated Shelter,1,10429
,,10430
,,10431
Bench,1,10432
Unheated Shelter,1,10432
,,10433
Bench,1,10434
Unheated Shelter,1,10434
,,10435
Unheated Shelter,1,10436
,,10437
Unheated Shelter,1,10438
,,10439
,,10441
Bench,1,10442
Unheated Shelter,1,10442
,,10443
,,10444
,,10445
,,10446
,,10447
Unheated Shelter,1,10448
,,10449
Bench,1,10450
,,10451
,,10452
,,10453
Bench,1,10454
Unheated Shelter,1,10454
,,10455
,,10456
,,10457
Bench,1,10458
Unheated Shelter,1,10458
,,10459
Unheated Shelter,1,10460
Bench,1,10461
Bench,1,10462
,,10463
,,10464
,,10465
,,10466
,,10467
,,10468
,,10469
Bench,1,10470
,,10471
,,10472
,,10473
,,10474
,,10475
,,10476
Bench,1,10477
,,10478
Bench,1,10479
,,10480
,,10481
Bench,1,10482
Bench,1,10483
,,10484
,,10485
,,10486
,,10487
,,10488
Bench,1,10489
,,10490
Unheated Shelter,1,10491
,,10492
Bench,1,10493
Bench,1,10494
Bench,1,10495
Bench,1,10496
Unheated Shelter,1,10496
Bench,1,10497
Bench,1,10498
Unheated Shelter,1,10498
,,10499
,,10500
,,10501
,,10502
Bench,1,10503
,,10504
,,10505
,,10506
,,10507
,,10508
,,10509
,,10510
,,10511
,,10512
,,10513
,,10514
,,10515
,,10516
,,10517
,,10518
Bench,1,10519
Bench,1,10520
,,10521
,,10522
,,10523
,,10524
,,10525
,,10526
BUSwatch Electronic Sign,1,10527
Unheated Shelter,1,10527
,,10528
,,10529
,,10530
,,10531
Bench,1,10533
Unheated Shelter,1,10533
,,10534
Bench,1,10535
,,10536
,,10538
BUSwatch Electronic Sign,1,10541
Bench,2,10541
Unheated Shelter,1,10541
BUSwatch Electronic Sign,1,10542
Bench,2,10542
Heated Shelter,1,10542
BUSwatch Electronic Sign,1,10543
Heated Shelter,1,10543
BUSwatch Electronic Sign,1,10545
Bench,2,10545
Heated Shelter,1,10545
BUSwatch Electronic Sign,1,10546
Bench,2,10546
Heated Shelter,1,10546
Bench,1,10547
Unheated Shelter,1,10547
BUSwatch Electronic Sign,1,10548
Bench,1,10548
Unheated Shelter,1,10548
Bench,1,10549
Unheated Shelter,1,10549
Bench,1,10550
Bench,1,10551
Bench,1,10552
Heated Shelter,1,10552
Bench,1,10553
Bench,1,10555
Bench,1,10556
Bench,1,10557
Unheated Shelter,1,10557
Unheated Shelter,1,10558
Bench,1,10559
BUSwatch Electronic Sign,1,10561
Bench,2,10561
Heated Shelter,1,10561
BUSwatch Electronic Sign,1,10562
Bench,2,10562
Heated Shelter,1,10562
Bench,1,10563
Unheated Shelter,1,10563
Bench,1,10564
Unheated Shelter,1,10564
Bench,1,10565
Unheated Shelter,1,10565
Bench,1,10566
Bench,1,10567
Unheated Shelter,1,10567
Bench,1,10568
Bench,1,10569
Unheated Shelter,1,10569
Bench,1,10570
Unheated Shelter,1,10570
Bench,1,10571
Bike Rack/Locker,1,10571
Bench,2,10572
Bench,1,10573
Unheated Shelter,1,10573
Bench,1,10574
Unheated Shelter,1,10574
Bench,1,10575
Unheated Shelter,1,10575
BUSwatch Electronic Sign,1,10576
Bench,1,10576
Unheated Shelter,1,10576
Bench,1,10577
Heated Shelter,1,10577
Bench,1,10578
Heated Shelter,1,10578
BUSwatch Electronic Sign,1,10579
Bench,1,10579
Heated Shelter,1,10579
